SampleID	IndID	PopID
1	19-01	PatricksPoint	
2	19-02	PatricksPoint
3	19-03	PatricksPoint
4	19-05	PatricksPoint
5	19-07	PatricksPoint
6	19-08	PatricksPoint
7	19-09	PatricksPoint
8	19-10	PatricksPoint
9	19-11	PatricksPoint
10	19-12	PatricksPoint
11	83-01	HazardReef
12	83-03	HazardReef
13	83-05	HazardReef
14	83-06	HazardReef
15	83-07	HazardReef
16	83-08	HazardReef
17	83-09	HazardReef
18	83-10	HazardReef
19	83-11	HazardReef
